Local: ,10-Dec-20,07:15:26 PM,tz_sec ,19800
Linux Epoch (ms): ,1607607926000
,SLOT F
,Ch2
Epoch Delta TS,D2,S2
1788.125,0,399666
1800.094,0,399666
1800.094,0,399635
1800.094,0,399682
1800.094,0,399689
1800.094,0,399635
1800.094,0,399663
1812.125,0,399681
1812.125,0,399668
1812.125,0,399646
1812.125,0,399628
1812.125,0,399645
1812.125,0,399639
1824.156,0,399660
1824.156,0,399660
1824.156,0,399664
1824.156,0,399651
1824.156,0,399668
1824.156,0,399644
1836.094,0,399649
1836.094,0,399685
1836.094,0,399625
1836.094,0,399664
1836.094,0,399684
1836.094,0,399670
1848.125,0,399639
1848.125,0,399627
1848.125,0,399634
1848.125,0,399644
1848.125,0,399641
1848.125,0,399656
1860.125,0,399664
1860.125,0,399656
1860.125,0,399633
1860.125,0,399659
1860.125,0,399644
1860.125,0,399651
1872.156,0,399661
1872.156,0,399615
1872.156,0,399637
1872.156,0,399633
1872.156,0,399639
1872.156,0,399648
1884.125,0,399667
1884.125,0,399637
1884.125,0,399626
1884.125,0,399644
1884.125,0,399654
1884.125,0,399653
1896.125,0,399695
1896.125,0,399680
1896.125,0,399654
1896.125,0,399628
1896.125,0,399650
1896.125,0,399647
1908.125,0,399638
1908.125,0,399630
1908.125,0,399646
1908.125,0,399641
1908.125,0,399639
1908.125,0,399643
1920.125,0,399598
1920.125,0,399641
1920.125,0,399636
1920.125,0,399634
1920.125,0,399630
1920.125,0,399643
1932.156,0,399618
1932.156,0,399580
1932.156,0,399591
1932.156,0,399616
1932.156,0,399647
1932.156,0,399615
1944.125,0,399651
1944.125,0,399598
1944.125,0,399581
1944.125,0,399649
1944.125,0,399603
1944.125,0,399629
1956.125,0,399613
1956.125,0,399621
1956.125,0,399633
1956.125,0,399577
1956.125,0,399617
1956.125,0,399654
1968.125,0,399632
1968.125,0,399642
1968.125,0,399587
1968.125,0,399569
1968.125,0,399604
1968.125,0,399593
1980.156,0,399575
1980.156,0,399649
1980.156,0,399585
1980.156,0,399611
1980.156,0,399641
1980.156,0,399588
1992.156,0,399652
1992.156,0,399668
1992.156,0,399617
1992.156,0,399609
1992.156,0,399627
1992.156,0,399564
2004.125,0,399610
2004.125,0,399585
2004.125,0,399633
2004.125,0,399615
2004.125,0,399636
2004.125,0,399635
2016.125,0,399630
2016.125,0,399636
2016.125,0,399622
2016.125,0,399580
2016.125,0,399634
2016.125,0,399635
2028.156,0,399623
2028.156,0,399625
2028.156,0,399589
2028.156,0,399652
2028.156,0,399603
2028.156,0,399621
2040.156,0,399609
2040.156,0,399616
2040.156,0,399570
2040.156,0,399591
2040.156,0,399598
2040.156,0,399602
2052.125,0,399611
2052.125,0,399564
2052.125,0,399622
2052.125,0,399588
2052.125,0,399591
2052.125,0,399580
2064.125,0,399619
2064.125,0,399579
2064.125,0,399614
2064.125,0,399581
2064.125,0,399569
2064.125,0,399608
